OTUKE COUNTY,KWIYUCWINY GRACE FREEDOM,NRM,District Woman Representative
MOROTO COUNTY,OBUA-OGWAL BENSON,UPC,Directly Elected MP
AJURI COUNTY,OBUA DENIS HAMSON,NRM,Directly Elected MP
AJURI COUNTY,AMUGE REBECCA,NRM,District Woman
AJURI COUNTY,OTENGO,,Representative
BULAMBULI COUNTY,"WAMAKUYU MIDIMI
MULONI IRENE NAFUNA","NRM
NRM","Directly Elected MP
District Woman Representative"
BUVUMA ISLANDS,MIGADDE ROBERT,NRM,Directly Elected MP
BUVUMA ISLANDS,NDUGWA,,
BUVUMA ISLANDS,EGUNYU NANTUME,NRM,District Woman
BUVUMA ISLANDS,JANEPHER,,Representative
GOMBA COUNTY,NAJJEMBA ROSEMARY,NRM,Directly Elected MP
GOMBA COUNTY,MUYINDA,,
GOMBA COUNTY,NAKATO KYABANGI,NRM,District Woman
GOMBA COUNTY,KATUSIIME,,Representative
KIBANDA COUNTY,"OTADA SAM OWOR AMOOTI
KAHUNDE HELEN","Independent
NRM","Directly Elected MP
District Woman Representative"
KIBOGA  WEST,SSEMUGABA SAMUEL,NRM,Directly Elected MP
KIBOGA  WEST,,,
KIBOGA  WEST,NANKABIRWA ANN MARIA,NRM,District Woman
KIBOGA  WEST,,,Representative
LUUKA COUNTY,"BAGOOLE JOHN B. NGOBI
KAABULE EVELYN NAOME MPAGI N.","Independent
NRM","Directly Elected MP
District Woman Representative"
BUKOOLI SOUTH,MAYENDE STEPHEN,NRM,Directly Elected MP
COUNTY,DEDE,,
BUKOOLI ISLAND,OKEYOH PETER,NRM,Directly Elected MP
COUNTY,,,
,MAKHOHA MARGARET,NRM,District Woman
,,,Representative
NTOROKO COUNTY,BAHINDUKA MUGARRA MARTIN,Independent,Directly Elected MP
,MUJUNGU JENNIFER K.,Independent,District Woman Representative
KASILO COUNTY,OKUPA ELIJAH,FDC,Directly Elected MP
SERERE COUNTY,OCHOLA STEPHEN,FDC,Directly Elected MP
SERERE COUNTY,ALASO ALICE ASIANUT,FDC,District Woman
SERERE COUNTY,,,Representative
BUKOMANSIMBI,KIYINGI DEOGRATIUS,DP,Directly Elected MP
BUKOMANSIMBI,,,
BUKOMANSIMBI,NAMAGANDA SUSAN,DP,District Woman
BUKOMANSIMBI,,,Representative
BUTAMBALA COUNTY,KIKULUKUNYU FAISAL,NRM,Directly Elected MP
BUTAMBALA COUNTY,SSALI,,
BUTAMBALA COUNTY,NALUBEGA MARIAM,Independent,District Woman
BUTAMBALA COUNTY,,,Representative
BUTAMBALA COUNTY,BRIG. CHARLES ANGINA,,UPDF Representative
BUTAMBALA COUNTY,CAPT. SUSAN LAKOT,,UPDF Representative
BUTAMBALA COUNTY,COL. KATIRIMA MANONI,,UPDF Representative
BUTAMBALA COUNTY,PHINEHAS,,
BUTAMBALA COUNTY,GEN. ARONDA,,UPDF Representative
BUTAMBALA COUNTY,NYAKAIRIMA,,
BUTAMBALA COUNTY,GEN. DAVID TINYEFUZA,,UPDF Representative
BUTAMBALA COUNTY,GEN. ELLY TUMWINE,,UPDF Representative
BUTAMBALA COUNTY,LT. GEN. KATUMBA,,UPDF Representative
BUTAMBALA COUNTY,WAMALA,,
BUTAMBALA COUNTY,MAJ. GEN. DR. J. F.,,UPDF Representative
BUTAMBALA COUNTY,OKETTA,,
BUTAMBALA COUNTY,MAJ. GEN. JIM,,UPDF Representative
BUTAMBALA COUNTY,OWOYESIGIRE,,
BUTAMBALA COUNTY,MAJ. SARAH MPABWA,,UPDF Representative
BUTAMBALA COUNTY,ARINAITWE RWAKAJARA,NRM,Workers Representative
BUTAMBALA COUNTY,K.,,
BUTAMBALA COUNTY,BAKABULINDI CHARLES,NRM,Workers Representative
BUTAMBALA COUNTY,LYOMOKI SAMUEL,NRM,Workers Representative
BUTAMBALA COUNTY,NABULYA THEOPISTA S.,NRM,Workers Representative
